Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Mucilaginibacter	0	0	0.0833	0	0	0.0533	0	0	0.187	0	0	0.00665	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.1
Pelosinus	0	0	0.09	0	0	0.00333	0	0	0	0	0	0.0266	0	0.0299	0	0	3.28	1.68	0	0	0	0	0.0134	0.00333	0	0	0.458	0	0	0.00333	0.203	0.00333	0	0.1
Singulisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nesterenkonia	0	0.00665	0	0.00334	0.0166	0	0	0.00334	0	0.00334	0.0232	0	0	0	0.00664	0	0	0	0	0	0.00333	0.00334	0.0167	0	0.0167	0	0.00332	0	0	0	0	0	0	0.1
Faecalibacterium	0.0432	0.00332	0.0533	0.0501	0.0133	0.0433	0	0	0	0.0568	0.0763	0.0832	0	0.0699	0.0299	0.0299	0.02	0.0167	0.00333	0.0167	0.0166	0	0.0468	0.0699	0	0	0.00996	0	0.0333	0.0433	0.0166	0.0366	0.0166	0.1
Trichococcus	0	0.0199	0	0	0	0	0	0.00334	0.00334	0	4.88	0.263	0	0	0.00332	0	0	0.00666	0.0798	0	0.00333	0.0635	0	0	0	0	0.00332	0	0	0	0.0133	0.825	0.196	0.1
Jonesia	0	0.0299	0.01	0	0	0	0	0	0	0	0.0299	0.2	0	0.00998	0	0	0	0.00333	0	0	0.0732	0.00334	0	0.03	0.00669	0	0.0199	0.00332	0	0.00333	0.00333	0.00333	0	0.1
Rhodococcus	0.286	0.153	0.0333	0.0267	0.00665	0.0266	0.0301	0.0735	0.107	0.177	0.0963	0.0133	0.0167	0.0532	0.522	0.0133	0.00333	0.0466	0.02	0	0.236	0.00669	0.144	0.706	0.0134	0.12	0.219	0.289	0.193	0.0766	0.02	0.0798	0.0398	0.1
Acidovorax	0	0.00665	0.02	0	0	0.00333	0	0.0134	0.0969	0	0.00996	0.00333	0.154	0.00333	0	0	0	0.00333	0	0	0.02	0	0	0.0133	0	0	0	0	0	0	0	0	0	0.1
Escherichia/Shigella	0.00332	0.0133	0.103	0	0	0.0233	0	0.0568	0.0568	0.01	0.0697	1.01	0	0.0798	0.00332	0.113	0.0133	0	0.00998	0	0.0133	0.00669	0.00668	0.02	0	0.00334	0.00664	0.00997	0	0	0.0366	0.0233	0.00332	0.1
Turicibacter	0	0	0	0	0	0.00333	0.00668	0.0501	0.0368	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0.00668	0	0	0	0	0	0	0	0.1
Enhydrobacter	0.00332	2.76	2.97	0.00669	0.186	0.316	0	0.0801	0.177	0	0.0199	0.346	0.00334	0.522	0	0.00997	0.0266	0.00333	0.176	0.00668	0	0	0	0	0.00334	0	0	0.0399	0.00333	0	0.00333	0.00333	0.00664	0.1
Kaistia	0	0	0	0	0.00333	0	0	0	0.13	0	0.00332	0.00333	0	0	0	0	0	0	0.00333	0	0.00333	0	0.438	0.196	0	0.448	0	0	0	0.09	0	0	0	0.1
Aquabacterium	0	0	0	0	0	0	0	0.00334	0.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudoxanthomonas	0	0.00665	0.00333	0	0	0.00333	0	0	0.224	0	0.0266	0.0133	0	0.02	0	0.0332	0	0	0	0	0.00333	0	0	0	0	0	0.00332	0	0	0	0	0	0.00332	0.1
Planococcus	0.0797	0.0166	0	0.0702	0.0266	0	0.0868	0.16	0.0167	0.578	0.146	0	0.301	0	0.093	0	0	0	0.00333	0	0.0133	0.00334	0.277	0.00666	0.782	0	0.0133	0.00665	0	0	0	0	0	0.1
Rothia	0	0.0731	0.0267	0	0.00333	0	0	0.00334	0	0	0.0398	0.00998	0.0167	0	0.00664	0.00665	0.00666	0.0133	0.0632	0	0	0.00669	0.00334	0	0.01	0	0.00664	0.0233	0	0	0.0266	0.0532	0.106	0.1
Knoellia	0.00664	0.0133	0	0.1	0.00665	0	0	0.0134	0.00334	0	0.00332	0	0.00334	0	0	0	0	0	0.00333	0	0	0	0.0134	0	0.0167	0.0134	0.00664	0.00665	0	0	0	0	0	0.1
Anaerospora	0	0	0.07	0	0	0.0599	0	0	0	0	0	0.11	0	0.0865	0	0.00665	0	0.00333	0.00333	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0.1
Anaerovorax	0	0.00332	0.0366	0	0	0.00333	0	0	0	0	0	0.0832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pusillimonas	0	0	0.01	0	0.00665	0.0766	0	0.00334	0.157	0	0.00664	0.00998	0	0	0	0.0332	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00332	0.1
Salinicoccus	0	0.00332	0	0.0167	0.0133	0	0	0.00334	0	0.00669	0.00996	0	0.00334	0	0	0	0	0	0	0	0	0.0368	0	0	0	0	0	0	0	0	0	0	0	0.1
Ancylobacter	0	0	0	0	0	0.00333	0	0	0.01	0	0.00332	0	0.01	0	0.00332	0.00332	0	0	0	0	0.0299	0	0.164	0.02	0	0.124	0.00332	0	0	0	0	0	0	0.1
Romboutsia	0	0.00332	0	0	0	0	0.0234	0.164	0.0468	0	0.00332	0	0.01	0.00333	0.00332	0.00332	0	0.00333	0.00333	0	0.00333	0	0.0267	0	0.00669	0.0267	0	0.00332	0	0	0	0	0	0.1
Ruminococcus2	0.00664	0	0.0133	0	0	0.00666	0	0	0	0	0.00664	0.02	0	0.0133	0.00664	0.00332	0.00333	0	0	0	0.00333	0	0.00334	0.00999	0	0	0.00332	0	0	0	0.00333	0.00665	0.00332	0.1
Ruminococcus	0.00332	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0.00333	0	0	0	0	0	0	0	0	0	0.1
Rickettsia	0	0	0	0	0.00333	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0.00334	0.00332	0	0	0	0	0	0	0.1
Reyranella	0	0.00665	0	0	0	0	0.00334	0	0	0	0.0199	0	0.0368	0	0.00997	0	0	0	0.00333	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.00332	0.1
Blastomonas	0	0	0	0	0	0.00666	0	0	0.0167	0	0.00332	0	0	0	0.00332	0	0	0	0	0	0.0233	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0.1
Barnesiella	0	0.00332	0	0	0	0	0	0.00334	0.0267	0	0	0	0	0	0	0	0.00333	0	0	0.00334	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0.1
Taibaiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00665	0	0	0	0	0	0	0.0735	0	0	0	0	0	0	0	0	0	0	0.1
Terribacillus	0	0.0764	0	0	0.176	0.00333	0	0	0.00334	0	0.0631	0.00333	0	0.0166	0	0.00997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Advenella	0	0	0	0	0.00665	0	0.01	0	0	0.01	0	0	0	0.00665	0.00664	0	0	0	0	14	0	0	0	0	0	0	0	0	0.00333	0.00333	0.00333	0	0.00332	0.1
Aeromonas	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.0598	0	0	0	0	0	0	0.1
Aerococcus	0.00332	1.9	0.02	0	0.0299	0	0	0.0167	0	0	3.05	0.0233	0.00668	0.0133	0.00332	0.00332	0	0.00333	0.0133	0.02	0	0	0	0.00333	0	0	0	0	0	0	0.226	0.0233	0.0133	0.1
Xenophilus	0.00664	0.00665	0	0	0	0	0	0	0.181	0	0.00332	0	0	0	0	0.00332	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0.1
Zhihengliuella	0.00997	0.00997	0	0.00334	0.00333	0	0.0134	0.00334	0	0.0502	0.0299	0	0	0	0.00997	0	0	0.00333	0	0	0	0	0.00334	0	0	0	0.00996	0.00665	0.00333	0.01	0	0	0	0.1
Vitellibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0368	0	0	0	0	0	0	0	0	0	0	0.1
Thermomonas	0	0	0	0	0.00333	0	0	0	0.0535	0	0.00664	0	0	0	0	0.00665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Vasilyevaea	0	0	0	0	0	0	0	0	0.00669	0	0.00332	0.00333	0	0	0	0.00332	0	0	0	0	0.0266	0	0.11	0.00333	0	0.0969	0	0	0	0	0	0	0	0.1
Agromyces	0.103	0.00997	0	0.0301	0.0266	0.00666	0.00334	0.00334	0.0234	0	0	0	0	0.00333	0.0166	0.0133	0.00333	0	0	0.0935	0.0466	0	0.01	0.0599	0	0.00334	0.00664	0.00332	0	0.17	0	0.00333	0	0.1
Solibacillus	0	0	0	0	0.0233	0	0	0	0	0	0.00332	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Allobaculum	0	0.00997	0	0	0	0	0.00334	0.00334	0.00669	0	0	0	0	0	0	0	0	0	0.00665	0	0	0.00334	0	0	0	0.00334	0	0.00665	0	0	0	0	0	0.1
Altererythrobacter	0	0	0	0	0	0	0	0	0.0368	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Anaerosporobacter	0	0	0.00333	0	0	0	0	0	0	0	0.00332	2.97	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.1
Anaerosalibacter	0	0.00997	0	0	0	0	0.00334	0.00668	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0.00332	0	0	0	0	0	0.1
Sphingosinicella	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.0201	0	0	0.02	0	0	0	0	0	0	0	0.1
Sporosarcina	0	0.00997	0	0	0.00333	0	0	0	0	0	0.0232	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sphingorhabdus	0	0.0166	0	0	0	0	0	0.00668	0.00669	0	0	0	0.00668	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0.00332	0	0	0	0	0	0.1
Alkalibaculum	0	0.00332	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.832	0	0	0	0	0	0	0	0	0	0	0.1
Akkermansia	0	0.0199	0	0	0	0	0.0167	0.0768	0.0702	0	0.00332	0	0.00334	0.00333	0	0.00332	0.00333	0	0.0266	0.00334	0	0.0134	0.00668	0	0.0134	0.0167	0	0.0133	0	0	0.00333	0	0	0.1
Bradyrhizobium	0.00664	0.00665	0.00666	0.00669	0	0	0.0401	0.504	0.0234	0.00334	0.0266	0.00333	0.0234	0.00333	0	0.00665	0	0.00333	0	0	0	0.00669	0	0	0	0	0.00332	0	0	0	0	0	0.00332	0.1
Larkinella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434	0	0	0	0	0	0	0	0	0	0	0.1
Legionella	0	0.00665	0	0	0	0	0	0.01	0	0	0.0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfovibrio	0	0.00665	0	0	0	0	0.00334	0.0234	0.0134	0	0	0	0.00334	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Klebsiella	0	0.00665	0.0333	0	0	0	0	0	0	0	0.00332	0	0	0.00998	0	0.0432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Domibacillus	0	0.0199	0	0	0.00333	0	0.01	0.00668	0.0234	0.00669	0.0531	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0.01	0	0	0.00332	0	0	0	0	0	0.1
Desemzia	0.00332	6.15	0.03	0	0.0532	0	0	0.02	0.0134	0.00669	19.9	0.193	0	0.419	0.00332	0	0	0.00333	0.0831	0.167	0	0.00669	0	0.00333	0.00334	0	0.0332	0	0.00333	0	0	0.00333	0.00332	0.1
Curtobacterium	0.0133	0.00665	0	0.0735	0.0233	0	0	0.00668	0.0201	0.00334	0.00996	0.00333	0.00668	0.00333	0.0133	0.00332	0	0.06	0.00333	0	0.0133	0.00334	0	0.00333	0.01	0	0.00332	0.0465	0	0.0167	0	0	0	0.1
Moheibacter	0.00997	0.00997	0	0	0	0	0	0	0.608	0	0.00332	0.00333	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lysobacter	0	0.00997	0	0	0	0	0	0.0301	0.00334	0	0.0332	0	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0.1
Luteococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367	0	0.0935	0	0	0	0	0.0267	0	0.226	0.0632	0	0	0	0	0.00332	0.1
Lysinibacillus	0	0	0.0133	0	0.00665	0.0166	0	0	0.01	0	0.00332	0.00333	0	0.0632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Gp16	0	0	0	0	0.00333	0	0	0.01	0	0	0.00332	0.00333	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0	0.00332	0.00332	0	0	0	0	0.00996	0.1
Epilithonimonas	0.00332	0.00332	0	0	0	0	0	0	0	0.00669	0	0	0	0	0.00332	0	0	0.00333	0	0	0	0	0	0.05	0	0	0	0	0	0.593	0	0	0	0.1
Geodermatophilus	0	0	0.00333	0	0	0	0.0501	0.237	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0.1
Fictibacillus	0	0	0	0	0.00333	0	0	0.0301	0.00669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0.1
Galbibacter	0	0.0166	0	0	0.0166	0	0	0	0	0	0.0564	0	0	0	0	0.00665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Helicobacter	0.00664	0.00332	0.00333	0	0	0.00666	0	0.00334	0	0	0.00664	0.0166	0	0.00665	0.00664	0.00997	0.00333	0.00333	0	0	0	0	0.00668	0.00999	0	0	0	0	0.00666	0	0.00333	0	0.00664	0.1
Jeotgalibacillus	0.00332	0.00332	0	0	0	0	0	0.02	0	0	0.00996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0.1
Duganella	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Empedobacter	0.0764	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Herbiconiux	0	0.00665	0	0.0167	0.00333	0.0166	0	0	0.348	0	0.00664	0.00333	0.00334	0	0.00332	0.00665	0	0	0.00333	0	0.406	0	0.14	0.0766	0	0.411	0.00332	0.00332	0	0.00333	0.00333	0.00333	0	0.1
Herminiimonas	0	0.00332	0	0	0	0	0	0	0	0	0.00332	0	0.0401	0	0	0.00332	0	0	0	0	0.0965	0	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0.1
Porphyrobacter	0.00332	0.00332	0.00666	0	0.0133	0.0233	0	0	0.0334	0	0.00664	0	0.0434	0	0	0	0	0	0	0	0.00333	0	0.00334	0	0	0	0	0	0	0	0	0	0	0.1
Promicromonospora	0	0.00332	0	0	0.0699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Plantibacter	0.00332	0.00332	0.00333	0.0435	0.00333	0	0.0267	0.02	0.287	0.0502	0.00664	0	0.0969	0.00333	0.0498	0	0.00333	0	0	0.00334	0.0233	0.01	0.0134	0.03	0.00669	0.0301	0.00996	0.00665	1.18	0.11	0.0133	0.00998	0.00332	0.1
Planococcaceae_incertae_sedis	0	0.00332	0	0	0.396	0.00666	0	0.00668	0.0201	0.154	0.0232	0	0	0.00333	0.00997	0.00332	0	0	0	0	0	0	0	0	0.00334	0	0.00332	0.0499	0	0	0	0	0	0.1
Carnobacterium	0.00664	0.389	0.197	0.01	0.0166	0	0	0.00668	0.0134	0.134	11.6	0.419	0	0.436	0.269	0	0.463	0.197	17.9	0	0.0233	1.46	0	0	2.73	0	0.435	1.59	0	0.00333	0.0133	3.71	0.00664	0.1
Propionibacterium	0.00332	0.0532	0	0.00334	0.00333	0	0.0134	0.0735	0.0401	0	0.00996	0	0.00334	0	0.00332	0.00665	0	0.0133	0.0399	0.00668	0.00333	0	0.01	0	0.00334	0.0167	0.0133	0	0.00333	0	0.00333	0.00333	0.0166	0.1
Camelimonas	0.00332	0.00332	0	0	0	0	0	0.00334	0	0.0368	0.00332	0	0	0	0.00332	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.00332	0.1
Pseudorhodoferax	0	0	0	0	0	0	0	0	0.0368	0	0	0	0	0	0.00332	0	0	0	0	0	0	0	0.00334	0	0	0.00668	0	0	0	0	0	0	0	0.1
Pseudoflavonifractor	0.00664	0	0.00333	0.00669	0	0	0	0	0	0	0.0133	0.00665	0	0.00333	0.00332	0.00332	0.00333	0.00333	0	0	0.00665	0	0.00334	0.00333	0	0	0.00332	0	0.00333	0.00333	0	0.00333	0	0.1
Propionicimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0535	0.00666	0	0	0	0	0	0	0	0	0	0.1
Pseudoclavibacter	0	0.00332	0	0.01	0.00665	0	0.00334	0.0234	0.00669	0.134	0.00332	0	0.00334	0.00665	0.0498	0.00665	0	0.0133	0.00333	0.0234	0.329	0.0167	0.01	0.0133	0.0267	0.00668	0.0564	0.103	0.00333	0.02	0.00333	0.0166	0.0232	0.1
Clostridium_IV	0	0	0.00666	0.00334	0	0.00999	0	0	0	0.00669	0.00664	0.0166	0	0.00333	0.00332	0.00332	0	0	0	0	0.00333	0	0	0.00666	0	0	0	0	0	0.00333	0	0	0.00332	0.1
Nubsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0.00668	0	0	0.0401	0	0	0.00999	0	0	0	0	0.1
Nocardioides	0	0.00332	0	0	0	0	0	0.0167	0.0468	0	0	0	0	0	0.432	0.0366	0	0	0	0	0	0	0	0	0	0	0.00664	0.0133	0	0	0	0	0	0.1
Myxococcus	0.00664	0.00997	0.00666	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.0199	0	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0.00332	0.1
Clostridium_XI	0	0	0	0	0	0	0	0	0	0	0	0.0299	0	0.0998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Chryseomicrobium	0	0.00332	0	0.00334	0	0	0	0.0401	0.0468	0.00334	0.00332	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.1
Cellulosimicrobium	0	0.00665	0	0	0.0333	0	0	0.0134	0	0	0.00664	0.00333	0	0.00665	0.00332	0.00665	0	0	0.00333	0	0	0	0	0	0	0	0.00332	0.00332	0	0	0	0	0	0.1
Pigmentiphaga	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.00668	0	0	0	0	0	0	0	0	0	0.00334	0	0	0.0134	0	0	0.00999	0	0	0	0	0.1
Pectobacterium	0	0	0	0	0.00333	0	0	0	0	0	0	0.858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0365	0	0	0	0	0	0	0.1
Parapedobacter	0	0	0	0	0	0	0	0	0.00334	0	0.00664	0	0	0	0	0.0765	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0.1
Parasutterella	0	0.00997	0	0	0	0	0.00334	0.01	0.00669	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.01	0	0	0.00334	0	0	0.00332	0	0	0	0	0	0.1
