Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
Sporosarcina	0	5	0	0	1	0	0	1	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	27	6530	23	211	21124	197	117	477	45	147	1839	241	34	14	195	73	9	44	125	17	24	426	19	7	131	12	54	334	10	1	6	47	71
Stenotrophomonas	544	395	28	3147	277	40	18	431	99	30	81	16	652	361	105	380	288	131	4	11007	532	59	148	778	171	1066	47	755	171	147	270	115	35
Streptomyces	30	77	0	7	54	2	1	162	9	1	50	0	1	1	4	6	0	3	4	12	1	8	9	4	102	16	10	0	1	1	0	0	7
Streptophyta	0	2	1	8	24	1	15	90	19	2	36	1	9	1	4	3	0	0	0	1	1	0	7	0	1	3	1	0	0	0	2	1	11
Taibaiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
Terribacillus	0	42	0	0	98	1	0	0	3	0	36	2	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomonas	0	0	0	0	1	0	0	0	34	0	4	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Trichococcus	0	10	0	0	0	0	0	2	2	0	2849	129	0	0	1	0	0	2	46	0	1	39	0	0	0	0	2	0	0	0	8	438	117
Turicibacter	0	0	0	1	0	1	4	32	24	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	5	0	0	0	0	0	0	0
Unassigned	1137	9071	7926	1020	2232	6053	1088	1190	5561	4800	18839	11177	503	11613	830	20853	4344	1755	4549	962	633	1027	1832	2445	1173	1329	855	694	1435	954	17999	7655	5241
Variovorax	0	3	1	0	0	1	0	0	35	2	4	0	49	0	51	3	0	0	0	0	9	0	5	0	1	3	1	0	25	7	0	0	0
Vasilyevaea	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	2	0	0	0	0	15	0	70	2	0	63	0	0	0	0	0	0	0
Vitellibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Xenophilus	3	4	0	0	0	0	0	0	112	0	1	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Yersinia	3	0	0	5	1	0	2	30	0	63	0	1	0	0	2	0	5	8	2	0	0	2	1	1	0	0	0	2	0	1	151	7416	78
Zhihengliuella	5	6	0	2	2	0	9	2	0	31	17	0	0	0	5	0	0	1	0	0	0	1	3	0	0	0	6	4	1	4	0	0	0
