names,G1CA,G1CB,G1CC,G1IA,G1IB,G1IC,G1P1A,G1P1B,G1P1C,G1P2A,G1P2B,G1P2C,G1SA,G1SC,G1STA,G1STC,G2CA,G2CB,G2CC,G2IA,G2IB,G2IC,G2P1A,G2P1B,G2P1C,G2P2A,G2P2B,G2P2C,G2SA,G2SC,G2STA,G2STB,G2STC
Oral,0.000732061,0.003496329,0.00056099,5.09E-07,1.18E-05,0.084532221,0.003609233,1.16E-25,0.039333296,0.032805583,3.77E-21,2.62E-10,5.93E-19,0.000231904,0.00079987,0.000349078,8.41E-11,0.000281484,5.65E-07,2.95E-10,1.08E-10,6.52E-07,0.000249336,7.33E-05,0.035267004,0.00010993,2.92E-08,0.000205365,1.72E-18,3.56E-09,1.18E-07,2.81E-11,1.65E-18
Oral,8.17E-05,0.004536133,0.004915623,1.63E-08,0.000225696,0.003758508,0.041550634,1.28E-25,0.001947377,0.014744544,7.47E-23,3.34E-11,1.79E-20,0.000371639,1.75E-05,1.59E-08,3.92E-11,2.60E-05,1.17E-09,9.63E-12,1.93E-07,2.35E-05,0.004234558,0.006456036,0.017067333,1.15E-06,1.75E-05,0.000157843,7.20E-09,5.32E-05,2.54E-05,5.50E-14,3.02E-23
Oral,0.002227804,0.000418501,3.98E-05,2.40E-05,0.001986928,1.11E-11,0.000214557,2.23E-16,1.22E-05,0.000384731,1.10E-40,5.80E-34,6.82E-13,2.89E-09,0.111360038,1.20E-07,1.23E-08,0.002603083,8.17E-06,4.19E-11,5.75E-07,0.009194366,1.87E-06,0.000213889,0.010313107,8.60E-09,8.14E-07,0.002281171,6.90E-06,1.98E-05,1.27E-13,2.71E-10,2.53E-18
Oral,1.89E-07,2.43E-05,8.69E-06,7.10E-07,0.0010999,0.003310393,5.90E-12,0.001139156,0.403249025,2.74E-05,5.40E-29,2.66E-42,1.99E-06,0.028690908,8.64E-09,1.02E-07,1.79E-05,0.000421775,8.43E-08,3.66E-07,0.015666378,1.60E-09,0.024919448,1.43E-05,4.83E-08,0.014727535,7.71E-06,1.70E-14,0.000166711,1.49E-15,4.09E-07,1.05E-19,5.25E-19
Oral,2.13E-05,3.45E-06,0.00034211,1.24E-08,1.77E-05,5.63E-06,3.58E-09,3.32E-05,0.00071153,0.000105064,2.54E-40,3.68E-29,2.50E-11,0.001033653,1.17E-09,1.31E-07,0.000128541,0.004537806,2.88E-08,1.48E-09,0.000275741,0.00019206,0.000131768,1.05E-06,0.059905646,0.006620977,0.037098429,2.31E-09,3.99E-07,6.51E-08,5.14E-05,2.31E-15,4.53E-20
Oral,0.000100534,2.23E-06,2.89E-05,4.95E-08,0.00026756,0.000107982,1.61E-05,9.00E-20,0.023605714,0.000127871,1.57E-75,2.71E-44,3.21E-18,1.27E-06,1.41E-10,6.69E-09,3.12E-06,0.000266707,1.45E-08,5.82E-17,0.000222219,4.64E-08,0.000705286,0.001774485,1.03E-05,1.16E-09,9.29E-08,1.29E-06,2.88E-07,0.000147903,1.36E-05,2.03E-28,1.11E-46
Oral,0.010468634,0.000394251,2.90E-05,2.47E-06,2.07E-05,0.000125224,6.87E-07,4.31E-09,0.079725085,1.89E-06,8.18E-35,3.95E-50,8.59E-07,4.74E-06,0.008765896,1.01E-08,1.94E-09,0.000258173,5.71E-11,1.64E-08,0.005465866,4.17E-08,0.012860473,0.147496197,1.01E-11,0.003197388,2.13E-06,0.039552767,0.000209213,0.002285581,3.35E-05,6.47E-20,1.40E-08
Oral,0.006394878,0.001582798,0.000463868,0.000273148,0.000237656,0.007410475,9.70E-05,1.21E-09,0.009985959,0.011382229,6.72E-22,3.95E-29,3.87E-14,5.87E-06,0.006436904,7.46E-07,9.28E-07,0.006077466,0.004197649,1.30E-06,2.59E-06,0.069964896,0.000371731,4.47E-05,0.006626728,1.17E-15,4.07E-08,0.054677302,0.000467819,5.11E-09,7.63E-08,4.81E-08,1.04E-07
Oral,0.000327689,0.004244804,0.000442569,3.78E-06,0.000185337,0.005664887,2.40E-05,7.33E-11,0.028180699,0.008895736,3.22E-11,1.06E-30,2.52E-17,1.24E-06,0.002953148,3.12E-05,0.000243187,0.012938889,2.64E-05,8.63E-08,6.47E-13,4.49E-10,0.023686043,0.002635807,1.03E-05,2.63E-17,4.03E-10,2.49E-09,1.45E-13,5.94E-17,0.001434756,3.22E-11,2.05E-06
Oral,0.000162328,0.000229478,0.000112657,1.68E-06,1.79E-05,7.88E-05,2.37E-06,3.31E-10,0.001583131,0.000560623,3.37E-26,6.61E-32,2.02E-11,0.002593421,2.55E-05,3.71E-05,0.028269015,0.001132562,0.000187742,3.35E-10,3.26E-05,4.09E-14,0.087714129,0.001680979,2.25E-07,4.03E-08,1.37E-11,3.19E-11,1.29E-06,3.44E-16,3.76E-07,8.25E-11,3.78E-34
Oral,3.00E-10,1.45E-06,1.48E-05,0.036399099,1.87E-05,8.63E-06,3.32E-12,4.77E-19,0.000297028,1.94E-06,1.36E-39,1.18E-49,1.41E-13,0.013650375,3.33E-10,8.70E-05,0.097139639,0.000667613,1.36E-07,4.21E-10,1.25E-05,4.75E-13,0.000151405,2.87E-07,3.62E-14,0.048610249,2.98E-12,2.87E-28,8.77E-05,1.79E-28,4.06E-05,3.17E-17,1.88E-35
Oral,2.59E-07,8.66E-07,1.43E-06,0.003681168,4.92E-05,0.000352092,6.47E-13,4.43E-58,0.001280677,9.31E-06,1.70E-65,8.10E-62,0.000326273,0.001947628,7.14E-11,6.07E-07,0.031834498,0.000216637,2.65E-06,7.47E-16,0.00770844,2.06E-14,0.03001391,5.77E-06,2.57E-13,2.81E-06,1.23E-08,4.08E-19,0.000222975,3.10E-22,2.24E-05,1.45E-21,2.55E-48
Oral,3.04E-10,2.07E-08,2.77E-07,0.637590682,0.001140532,1.32E-05,5.33E-09,1.19E-25,1.35E-06,8.42E-06,3.86E-15,3.53E-34,0.073525932,0.030799578,2.57E-13,2.21E-06,0.283181931,0.000742155,1.57E-05,5.09E-21,0.023644395,1.26E-10,0.000271391,3.38E-08,2.06E-26,7.25E-05,3.94E-08,1.17E-25,0.003696317,8.94E-25,0.000206547,1.99E-23,7.46E-52
