Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Georgenia	0	0.0849	0.0037	0	0.0148	0.0037	0	0.0556	0.00371	0	0.156	0.0111	0	0.0037	0	0	0	0	0	0	0	0	0	0.0037	0	0	0.0297	0	0	0	0	0	0	0.4
Sedimentibacter	0	0	1.97	0	0	0	0	0	0	0	0	0.595	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Leucobacter	0.00369	0.0517	0.0185	0	0.0222	0.0407	0	0	0.026	0.0037	0.0483	0.0111	0.0185	0.0999	0.00738	0.0261	0.0037	0.0074	0.0111	0.0408	0.662	0.0111	0	0.0037	0	0.089	0.0111	0.0372	0	0.0333	0	0.0111	0.0297	0.4
Sanguibacter	0.0959	0.0664	0.0185	0	0.0185	0.0148	0	0	0.00742	0.0628	0.1	0.0481	0.182	0.551	0.048	0	0.285	3.64	2.08	0	2.83	0.252	0.215	0.322	0.672	0.646	5.1	5.16	0.0037	0.0037	0.152	0.277	0.234	0.4
Erwinia	0.00369	0.118	0.0148	0	0	0	0	0	0	0.00739	0.171	0.0148	0	0.0111	0	0.0112	0.0037	0.0185	0.0924	0	0.0444	0.052	0	0	0.0223	0	0.0223	0	0	0	0.0186	0.406	0	0.3
Glycomyces	0	0.00738	0.0037	0	0.288	0.0111	0	0.104	0.0111	0	0.00371	0	0	0	0	0.0149	0	0	0	0	0	0	0	0	0	0	0.00372	0	0	0	0	0.0037	0	0.3
Phenylobacterium	0.0258	0.0886	0	0	0	0.0111	0	0	0.382	0	0	0	0.0148	0	0.0111	0.0335	0	0	0.0037	0	0	0	0.1	0.0037	0	0.0111	0	0	0	0.0074	0	0.0037	0	0.3
Streptophyta	0	0.00369	0.0037	0.0111	0.048	0.0037	0.0223	0.137	0.0334	0.00739	0.0631	0.0037	0.0148	0.0037	0.0111	0.00372	0	0	0	0	0.0037	0	0.0111	0	0	0.00371	0	0	0	0	0.00371	0.0037	0.0186	0.3
Raoultella	0	0.00738	0.0148	0	0.00739	0	0	0.00741	0	0	0.0111	0.0185	0	0.0555	0.00369	0.0596	0.0851	0.0925	0.0222	0	0.0037	0.00371	0	0.0037	0	0	0.00372	0	0	0	0.691	0.787	0.126	0.3
Sphingopyxis	0.0184	0.0406	0.0074	0	0	0.0148	0	0.0259	0.694	0.0037	0.00371	0	0.223	0.0074	0.0111	0.0484	0	0	0	0	0	0	0.00742	0	0	0	0	0	0	0.0037	0	0	0	0.3
Saccharibacteria_genera_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372	0	0	0	0	0	0	0.145	0.0111	0	0	0	0.093	0	0	0	0	0	0.3
Kocuria	0.00369	0.0923	0.0037	0.0111	0.0517	0.0037	0.0186	0.167	0	0.0185	0.0409	0.0037	0	0.0037	0.00738	0.0112	0.0074	0.0185	0.0702	0.00371	0.00739	0.00742	0.00371	0.0074	0.212	0.00371	0.0409	0.0186	0	0.0037	0.00371	0.0222	0.0668	0.3
Herbaspirillum	0	0.0111	0.0481	0	0	0	0	0	0.0185	0	0	0.0037	0	0.252	0.00369	0.0484	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0.3
Ochrobactrum	0.875	0.0886	0.0333	0.00742	0.0259	0.385	0.104	0.604	1.03	0.0111	0.0594	0.0444	0.0297	0.0111	0.0406	0.0298	0.0074	0	0.0037	0.0222	0.0333	0	0.0334	0.0148	0.00742	0.089	0	0.00744	0.0074	0.0444	0.00743	0.0185	0.0297	0.3
Paracoccus	0.00738	0.0369	0.0074	0.00742	0.0259	0.0037	0.0186	0.0445	0.0519	0.0185	0.0743	0.0222	0	0.0111	0.0849	0.0149	0	0	0	0	0.0148	0	0.0779	0.0074	0.0148	0.00371	0.00372	0.00372	0	0	0	0	0.0111	0.3
Variovorax	0	0.00738	0.0037	0	0	0.0037	0	0	0.0594	0.0037	0.00371	0	0.0779	0	0.0996	0.00372	0	0	0	0	0.0185	0	0.00742	0.0037	0	0.00371	0	0	0.0518	0.0185	0	0	0	0.3
Comamonas	0	0	0.0037	0	0	1.6	0	0.00371	0	0	0.00371	0.00739	0	0	0	0	0.0074	0	0.0296	0	0	0.226	0.0371	1.84	0	0.126	0.0966	0	0	0.0074	0	0.00739	0	0.3
Delftia	0.0996	0.0295	1.56	0	0.0037	4.9	0	0.0111	1.78	0	0.0297	0.181	0	4.6	0.0258	0.7	0.322	0.0259	0	0.00371	0.0407	0.0186	1.32	0.122	0.0408	0.408	0.0149	0.368	0.137	0.0777	0.0371	0	0	0.3
