Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Allobaculum	0	0.0111	0	0	0	0	0.00371	0.00371	0.00742	0	0	0	0	0	0	0	0	0	0.00739	0	0	0.00371	0	0	0	0.00371	0	0.00372	0	0	0	0	0	0.1
Alkalibaculum	0	0.00369	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0.842	0	0	0	0	0	0	0	0	0	0	0.1
Sphingosinicella	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0.0223	0	0	0.0186	0	0	0	0	0	0	0	0.1
Sporosarcina	0	0.0111	0	0	0.0037	0	0	0	0	0	0.026	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sphingorhabdus	0	0.0185	0	0	0	0	0	0.00741	0.00742	0	0	0	0.00742	0	0	0	0	0	0	0	0	0.00371	0	0	0	0	0	0.00372	0	0	0	0	0	0.1
Algoriphagus	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0.434	0.0074	0	0.282	0	0	0	0	0	0	0	0.1
Akkermansia	0	0.0221	0	0	0	0	0.0186	0.0778	0.0705	0	0	0	0.00371	0.0037	0	0	0.0037	0	0.0296	0.00371	0	0.0148	0.00742	0	0.0148	0.0148	0	0.0149	0	0	0	0	0	0.1
Kaistia	0	0	0	0	0.0037	0	0	0	0.134	0	0	0.0037	0	0	0	0	0	0	0.0037	0	0.0037	0	0.427	0.2	0	0.445	0	0	0	0.0925	0	0	0	0.1
Klebsiella	0	0.00738	0.037	0	0	0	0	0	0	0	0	0	0	0.0111	0	0.0447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Jeotgalibacillus	0.00369	0.00369	0	0	0	0	0	0.0222	0	0	0.0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372	0	0	0	0	0	0.1
Herminiimonas	0	0.00369	0	0	0	0	0	0	0	0	0	0	0.0408	0	0	0.00372	0	0	0	0	0.104	0	0	0.0037	0	0	0	0	0	0.0037	0	0	0	0.1
Curtobacterium	0.0148	0.00738	0	0.0742	0.0222	0	0	0.00741	0.0185	0.00739	0.00743	0.0037	0.00742	0.0037	0.0148	0	0	0.0666	0.0037	0	0.0148	0.00371	0	0.0037	0.0111	0	0	0.0484	0	0.0185	0	0	0	0.1
Clostridium_XI	0	0	0	0	0	0	0	0	0	0	0	0.0333	0	0.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lysinibacillus	0	0	0.0148	0	0.00739	0.0185	0	0	0.0111	0	0.00371	0.0037	0	0.0703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mesorhizobium	0.00369	0.0185	0.0037	0.026	0.00739	0.0037	0.026	0.359	0.237	0	0	0.0037	0.00371	0	0.0148	0	0	0	0.0037	0.00742	0.0037	0	0.026	0.0555	0	0.0334	0	0	0	0	0	0.0037	0	0.1
Luteococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407	0	0.0964	0	0	0	0	0.0297	0	0.249	0.067	0	0	0	0	0	0.1
Legionella	0	0.00738	0	0	0	0	0	0.0111	0	0	0.0223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Clostridium_IV	0	0	0.0074	0.00371	0	0.0111	0	0	0	0.0111	0.00371	0.0185	0	0.0037	0.00369	0.00372	0	0	0	0	0.0037	0	0	0.0074	0	0	0	0	0	0.0037	0	0	0	0.1
Herbiconiux	0	0.00738	0	0.0148	0.0037	0.0185	0	0	0.364	0.0037	0.00743	0.0037	0.00371	0	0.00369	0.00372	0	0	0.0037	0	0.436	0	0.145	0.0814	0	0.43	0.00372	0	0	0.0037	0	0.0037	0	0.1
Epilithonimonas	0.00369	0.00369	0	0	0	0	0	0	0	0.00739	0	0	0	0	0.00369	0	0	0.0037	0	0	0	0	0	0.0555	0	0	0	0	0	0.707	0	0	0	0.1
Domibacillus	0	0.0258	0	0	0.0037	0	0.0111	0.00741	0.0223	0.0111	0.0557	0	0	0	0.00369	0	0	0	0	0	0.0037	0	0	0	0.0111	0	0	0.00372	0	0	0	0	0	0.1
Duganella	0	0	0	0.00371	0	0	0	0	0	0	0	0	0.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Empedobacter	0.0812	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Enhydrobacter	0.00369	2.5	2.67	0.00742	0.177	0.333	0	0.0815	0.182	0.0037	0.0223	0.311	0.00371	0.499	0	0.00372	0.0259	0.0037	0.144	0.00742	0	0	0	0	0.00371	0	0	0.026	0.0037	0	0.00371	0.0037	0.00743	0.1
Desulfovibrio	0	0.00738	0	0	0	0	0.00371	0.0259	0.0148	0	0	0	0.00371	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desemzia	0.00369	6.6	0.0333	0	0.0554	0	0	0.0222	0.0148	0.00739	20.5	0.214	0	0.455	0.00369	0	0	0.0037	0.0924	0.171	0	0.00742	0	0.0037	0.00371	0	0.0372	0	0.0037	0	0	0.0037	0	0.1
Helicobacter	0.00738	0.00369	0.0037	0	0	0.0074	0	0.00371	0	0.0037	0.00371	0.0185	0	0.0074	0.00738	0.00744	0.0037	0.0037	0	0	0	0	0.00742	0.0111	0	0	0	0	0.0074	0	0.00371	0	0.00371	0.1
Geodermatophilus	0	0	0.0037	0	0	0	0.0482	0.237	0.0185	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0	0	0	0	0	0	0	0	0	0	0.1
Fictibacillus	0	0	0	0	0.0037	0	0	0.0296	0.00742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Galbibacter	0	0.0185	0	0	0.0185	0	0	0	0	0	0.0557	0	0	0	0	0.00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Chryseomicrobium	0	0.00369	0	0.00371	0	0	0	0.0408	0.0482	0.00739	0.00371	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0.00371	0	0	0	0	0	0	0	0	0.1
Plantibacter	0.00369	0.00369	0.0037	0.0445	0.0037	0	0.026	0.0222	0.3	0.0591	0.00371	0	0.1	0.0037	0.0517	0	0.0037	0	0	0.00371	0.0259	0.0111	0.0148	0.0333	0.00742	0.0334	0.0111	0.00744	1.26	0.122	0.0111	0.0111	0.00371	0.1
Porphyrobacter	0.00369	0.00369	0.0074	0	0.0148	0.0259	0	0	0.0334	0	0.00371	0	0.0445	0	0	0	0	0	0	0	0.0037	0	0.00371	0	0	0	0	0	0	0	0	0	0	0.1
Blastomonas	0	0	0	0	0	0.0074	0	0	0.0185	0	0.00371	0	0	0	0.00369	0	0	0	0	0	0.0259	0	0.0111	0	0	0.0111	0	0	0	0	0	0	0	0.1
Pigmentiphaga	0	0	0	0	0	0.0037	0	0	0	0	0	0	0.00742	0	0	0	0	0	0	0	0	0	0.00371	0	0	0.0148	0	0	0.0111	0	0	0	0	0.1
Planococcaceae_incertae_sedis	0	0.00369	0	0	0.451	0.0074	0	0.00741	0.0185	0.181	0.026	0	0	0.0037	0.0111	0	0	0	0	0	0	0	0	0	0.00371	0	0	0.0558	0	0	0	0	0	0.1
Promicromonospora	0	0.00369	0	0	0.0739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudoflavonifractor	0.00738	0	0.0037	0.00742	0	0	0	0	0	0.0037	0.0111	0.00739	0	0.0037	0.00369	0.00372	0.0037	0.0037	0	0	0.00739	0	0.00371	0.0037	0	0	0	0	0.0037	0.0037	0	0.0037	0	0.1
Barnesiella	0	0.00369	0	0	0	0	0	0.00371	0.026	0	0	0	0	0	0	0	0.0037	0	0	0.00371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudoclavibacter	0	0.00369	0	0.0111	0.00739	0	0.00371	0.0259	0.00742	0.159	0.00371	0	0.00371	0.0074	0.0554	0.00744	0	0.0148	0.0037	0.026	0.355	0.0186	0.0111	0.0111	0.026	0.00742	0.0594	0.112	0.0037	0.0222	0.00371	0.0185	0.0223	0.1
Propionibacterium	0.00369	0.0591	0	0.00371	0.0037	0	0.0148	0.0741	0.0445	0.0037	0.00743	0	0.00371	0	0.00369	0.00372	0	0.0148	0.0444	0.00742	0.0037	0	0.0111	0	0.00371	0.0186	0.0111	0	0.0037	0	0.00371	0.0037	0.0149	0.1
Propionicimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0519	0.0074	0	0	0	0	0	0	0	0	0	0.1
Peredibacter	0	0	0	0	0	0	0	0	0.193	0	0	0	0.0223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nocardioides	0	0.00369	0	0	0	0	0	0.0185	0.0482	0	0	0	0	0	0.469	0.0372	0	0	0	0	0	0	0	0	0	0	0.00372	0.0149	0	0	0	0	0	0.1
Nubsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00742	0	0	0.0408	0	0	0.0111	0	0	0	0	0.1
Myxococcus	0.00738	0.0111	0.0074	0	0	0	0	0	0	0	0	0	0	0.0037	0	0.0186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0.1
Moheibacter	0.0111	0.0111	0	0	0	0	0	0	0.631	0	0	0.0037	0	0	0	0.00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mucilaginibacter	0	0	0	0	0	0.0592	0	0	0.193	0	0	0	0	0	0	0.00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cellulosimicrobium	0	0.00738	0	0	0.037	0	0	0.0148	0	0	0.00743	0.0037	0	0.0074	0.00369	0.00744	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pectobacterium	0	0	0	0	0.0037	0	0	0	0	0	0	0.954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372	0	0	0	0	0	0	0.1
Bradyrhizobium	0.00738	0.00738	0.0074	0.00742	0	0	0.0408	0.504	0.0223	0.0037	0.026	0.0037	0.026	0.0037	0	0.00744	0	0.0037	0	0	0	0.00742	0	0	0	0	0	0	0	0	0	0	0	0.1
Parasutterella	0	0.0111	0	0	0	0	0.00371	0.0111	0.00742	0	0	0	0.00371	0	0	0	0	0	0	0	0	0.0111	0	0	0.00371	0	0	0.00372	0	0	0	0	0	0.1
Carnobacterium	0.00738	0.417	0.215	0.0111	0.0185	0	0	0.00741	0.0148	0.159	12.5	0.473	0	0.473	0.292	0	0.511	0.218	20	0	0.0222	1.55	0	0	2.85	0	0.483	1.7	0	0.0037	0.0111	4.04	0.00743	0.1
Parapedobacter	0	0	0	0	0	0	0	0	0.00371	0	0.00371	0	0	0	0	0.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
