ID	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR2	SR3	SR4	SR5	SR6
957	1	2	0	1	0	0	19	23	31	0	0	1	0	0	0	0	1	1	2	17	9	2	1	2
958	41	30	20	1	2	0	13	11	4	0	0	0	6	2	0	0	0	0	5	0	0	2	0	3
959	2	11	7	2	0	2	6	13	61	0	0	0	6	11	0	4	2	1	0	2	14	5	3	1
96	59	49	66	45	150	84	132	94	91	99	39	79	7	4	99	82	63	55	29	4	27	49	146	84
960	6	6	2	2	3	4	22	6	1	2	27	2	0	0	12	1	0	2	28	43	1	0	0	0
961	19	11	1	0	22	0	16	6	0	0	10	0	0	0	0	0	0	0	13	0	0	0	3	13
962	11	0	6	7	8	12	9	10	0	25	0	12	0	0	7	5	6	9	1	0	0	9	5	5
963	27	24	16	0	0	0	0	3	1	0	46	0	0	0	0	0	0	0	0	0	2	0	2	2
965	0	0	2	1	0	8	0	0	0	9	0	6	55	45	0	0	1	0	4	9	4	0	1	2
966	0	0	0	59	2	74	1	3	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	3
967	0	0	0	0	0	1	0	0	15	1	85	0	0	0	0	0	1	0	0	1	1	0	0	0
968	0	0	0	2	0	0	0	0	25	0	0	6	0	0	15	13	14	12	15	0	14	5	5	4
969	1	1	1	19	23	19	0	3	0	2	0	1	1	1	16	7	6	4	1	0	0	1	1	0
97	65	88	104	92	119	95	54	73	70	96	105	66	57	48	35	93	119	97	9	27	13	78	66	85
970	1	0	0	0	0	0	50	55	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
971	10	17	2	2	8	1	7	10	3	2	19	12	1	0	12	0	2	0	0	29	1	1	3	8
972	4	1	12	0	12	0	8	12	39	0	0	0	0	1	0	0	0	0	11	0	28	10	1	7
973	6	0	7	0	0	2	17	26	53	0	0	0	2	1	0	0	2	0	4	0	22	0	3	1
974	0	0	1	2	2	1	1	0	0	0	0	0	1	0	0	0	2	0	20	26	23	19	8	19
975	27	31	20	0	2	0	1	2	5	0	0	0	0	0	0	0	0	0	2	2	14	7	10	5
976	0	6	3	14	0	35	1	4	5	7	0	10	1	0	13	8	2	4	9	6	0	1	0	0
977	1	0	2	0	0	0	0	3	3	0	103	1	0	0	1	0	0	1	1	23	16	5	5	2
978	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	0	2	3	73	16	3	0	0
979	5	2	7	0	0	4	15	7	39	0	0	0	7	10	0	0	2	0	9	0	8	7	5	3
98	107	51	57	11	7	32	131	78	93	13	148	42	17	20	148	140	90	122	30	11	13	50	56	90
980	6	1	8	5	12	5	11	3	0	10	0	9	1	2	0	0	1	1	2	0	5	7	11	17
981	7	3	2	0	1	7	1	16	3	15	0	4	0	4	32	1	0	2	5	2	8	0	0	0
982	64	20	22	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2
983	90	66	137	2	104	3	3	3	35	1	250	1	63	91	7	8	7	3	0	0	0	12	30	24
984	0	5	1	1	7	4	8	12	0	12	35	8	1	0	0	1	0	2	0	14	5	3	0	11
985	0	0	2	1	0	2	0	0	12	0	0	0	0	0	0	2	3	3	0	0	2	27	32	33
986	0	0	0	8	3	3	7	4	0	12	0	24	0	0	11	12	12	17	3	0	0	7	5	2
987	12	9	9	2	7	13	17	5	0	0	0	0	0	0	0	2	2	6	0	0	0	4	6	9
988	14	1	12	0	0	2	5	0	8	0	22	0	20	17	0	0	0	0	2	17	0	2	2	0
989	5	0	0	5	0	8	2	0	0	0	0	0	1	0	0	3	0	2	59	6	6	4	3	7
99	83	51	83	65	1	107	40	43	243	5	5	1	45	42	28	103	149	117	24	19	17	7	22	29
990	5	14	5	2	0	5	6	7	0	12	0	11	13	5	16	8	7	12	0	0	0	0	0	1
991	12	5	9	11	11	5	2	5	5	19	11	6	0	1	1	6	15	9	4	0	13	18	26	33
992	40	15	34	0	0	0	7	0	0	0	0	1	12	8	0	1	0	0	0	7	0	2	3	2
993	0	2	4	5	5	4	2	1	12	0	0	0	0	0	5	1	6	4	7	10	3	10	11	11
994	0	0	1	1	8	4	6	3	2	4	36	11	1	1	10	8	2	0	0	0	0	6	6	2
995	0	0	1	5	1	16	10	4	0	40	1	13	1	3	17	12	17	20	4	0	0	9	8	2
996	15	2	12	2	17	1	0	1	0	0	2	7	41	28	0	3	3	2	1	1	5	0	0	0
997	20	14	2	2	0	4	11	9	3	0	0	3	0	1	0	2	3	6	13	0	9	7	10	7
998	7	6	2	11	0	10	0	0	0	5	0	0	2	0	6	10	15	16	0	0	0	4	7	5
999	5	7	3	10	7	13	16	34	6	0	0	0	2	0	10	1	2	2	0	4	0	7	3	6
