ID	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR2	SR3	SR4	SR5	SR6
768	16	0	2	2	18	1	1	0	0	10	17	7	1	2	1	2	6	2	5	6	0	38	56	51
769	5	1	7	0	0	0	0	0	3	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0
77	4	0	7	1	3	0	223	259	518	1	2	1	512	482	2	1	2	2	8	18	6	0	4	34
770	0	0	6	2	0	0	39	24	1	8	0	39	2	0	6	3	8	2	0	0	0	2	6	2
771	0	0	2	2	9	2	0	0	1	2	0	0	0	1	20	24	52	56	0	0	0	0	0	0
772	10	22	0	1	32	3	21	16	6	9	20	29	0	0	14	8	0	0	24	13	6	1	0	13
773	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	36	48	55	4	3	2
774	5	2	6	17	5	11	3	5	2	22	57	20	5	4	22	15	14	18	1	0	8	28	20	27
775	22	14	49	0	0	0	2	13	29	0	0	0	2	4	0	0	0	0	1	0	23	12	11	7
776	0	0	6	6	12	2	3	0	5	0	11	0	1	1	4	6	2	5	25	14	25	19	43	24
777	0	0	5	8	5	11	0	0	3	0	10	0	0	2	0	2	4	13	1	0	1	33	59	55
778	9	5	16	0	1	1	3	1	31	0	0	0	6	9	0	0	0	0	34	23	64	6	2	2
779	0	2	0	2	21	0	2	4	8	4	0	7	6	11	9	7	13	5	0	0	0	21	33	8
78	34	31	58	13	39	18	12	27	74	0	0	0	4	3	4	12	16	9	386	330	771	37	22	55
780	1	2	0	0	0	1	26	10	6	0	0	0	0	0	0	0	0	0	7	40	51	7	6	2
782	2	6	1	0	2	0	1	0	4	1	0	4	4	2	4	2	2	4	9	0	8	43	50	30
783	3	10	0	2	8	5	18	8	3	8	42	11	1	0	23	1	2	5	19	6	2	4	1	2
784	0	0	0	1	0	0	0	0	1	0	138	0	0	0	1	0	1	0	0	6	0	0	0	1
785	0	1	4	5	4	8	0	0	0	3	0	6	0	2	29	32	36	70	0	0	5	7	8	7
786	0	0	0	1	0	7	0	0	0	9	0	3	0	1	25	43	32	72	4	2	1	0	2	2
787	2	2	2	6	21	3	10	6	8	15	1	18	0	2	15	24	24	15	0	18	0	1	6	2
788	31	31	39	2	2	1	9	20	19	2	0	7	1	0	13	3	5	2	0	16	3	1	8	3
789	4	0	2	1	0	2	13	11	19	0	0	0	8	11	0	0	0	0	18	66	20	1	0	3
79	21	40	40	258	92	114	56	35	115	500	10	265	25	17	5	50	61	67	42	25	45	65	49	45
790	0	3	5	0	0	0	8	8	18	0	0	0	1	0	0	0	0	2	35	17	42	2	3	13
791	33	5	5	2	11	5	6	5	0	1	3	3	0	3	28	12	13	15	1	0	6	7	2	12
792	4	9	17	8	23	18	27	11	16	2	47	3	5	1	3	9	9	13	2	0	0	24	28	18
793	15	12	12	1	9	0	3	3	0	1	0	12	0	0	0	0	3	3	14	14	3	15	12	20
794	61	59	57	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
795	2	6	5	0	5	0	0	0	10	0	92	0	2	0	1	2	4	3	0	0	1	7	3	9
796	0	7	0	2	0	2	51	68	51	0	0	0	1	1	0	0	0	0	0	15	3	4	2	2
797	0	1	2	4	0	5	7	2	20	0	0	0	0	0	0	0	2	2	18	12	13	28	18	36
798	2	10	7	14	40	11	3	3	18	2	2	5	0	0	0	30	15	16	3	3	4	9	14	9
799	2	0	0	45	0	134	0	0	0	1	0	1	0	1	1	2	3	3	7	6	0	1	2	2
8	995	728	661	97	166	154	56	66	87	166	190	283	24	26	689	1052	975	717	11	26	45	286	362	474
80	89	82	107	0	7	0	314	424	783	0	0	0	11	4	1	4	2	3	3	0	8	8	5	9
800	9	10	26	0	2	0	13	13	55	0	0	0	1	0	0	0	1	0	0	19	33	17	18	14
801	3	9	12	1	25	1	3	0	0	27	6	40	3	2	0	0	2	2	0	0	3	7	13	8
802	0	0	6	52	13	38	1	0	0	0	0	0	10	3	7	5	18	3	0	1	8	21	33	24
804	22	22	24	2	0	2	12	13	0	3	0	23	0	1	11	13	13	19	0	0	4	3	7	5
805	24	22	8	3	5	4	10	21	1	10	0	23	14	14	0	0	0	0	13	5	0	0	0	0
806	2	0	0	15	0	0	29	9	20	4	86	0	0	1	3	2	0	0	24	3	6	1	1	8
807	5	2	3	1	8	2	4	8	4	4	0	0	1	2	0	1	1	0	35	23	43	12	18	15
808	10	10	17	2	6	6	20	15	8	0	0	3	1	0	0	2	2	4	2	2	3	12	11	9
809	29	38	19	0	2	0	22	8	4	0	0	0	4	1	0	0	2	0	0	17	8	2	1	4
81	49	49	29	28	57	42	319	294	324	116	42	141	3	1	46	24	25	36	3	40	3	95	73	72
810	1	0	0	5	2	10	0	0	0	6	0	7	1	2	11	35	11	25	0	8	16	6	16	27
811	0	1	1	13	15	6	20	25	20	4	1	1	0	1	0	5	7	2	2	0	5	5	0	0
812	0	0	1	11	12	3	1	0	2	0	1	2	0	0	0	4	2	2	0	11	4	20	68	39
813	0	1	4	11	11	18	3	2	6	15	1	1	1	0	23	23	28	64	0	0	1	5	3	6
814	1	11	2	10	0	7	10	1	3	7	0	3	2	1	36	8	11	20	1	0	1	1	3	1
815	10	14	9	11	12	7	3	13	0	18	1	4	9	3	0	14	6	6	3	6	1	11	11	8
816	17	11	9	4	2	1	8	23	20	1	0	0	2	1	0	0	0	0	5	26	16	2	6	0
818	33	33	21	0	6	0	9	10	20	0	0	1	1	3	7	1	0	0	25	4	35	0	0	0
819	0	4	0	1	0	2	2	0	1	4	0	1	0	0	0	0	1	2	62	38	43	6	2	7
82	38	47	28	14	56	77	59	53	53	26	1	21	5	4	233	260	182	259	185	190	215	35	28	87
820	0	2	5	2	1	4	9	0	5	0	0	0	0	0	0	3	1	2	9	2	12	49	49	55
821	2	2	4	0	10	0	2	3	10	3	117	6	1	0	0	3	2	1	0	3	0	5	4	10
822	0	0	0	18	0	72	7	0	3	9	0	12	11	11	0	3	3	2	0	0	1	7	2	0
823	0	0	0	50	0	49	0	0	0	0	0	12	0	1	1	1	3	5	0	0	0	17	7	9
824	6	9	34	0	80	0	0	0	0	0	8	1	1	1	0	0	0	0	0	0	0	0	0	0
825	2	2	6	1	3	0	19	11	37	2	16	0	49	44	2	0	3	2	23	23	9	1	6	2
826	18	40	27	2	2	0	1	12	31	1	0	2	1	1	0	0	0	0	9	9	1	4	2	1
827	16	32	12	6	14	0	1	2	0	2	0	12	2	1	10	7	6	20	0	0	1	11	10	15
828	2	2	1	17	11	10	0	0	0	6	1	4	65	81	0	4	3	1	0	26	1	0	0	5
829	0	4	5	2	2	6	3	0	3	23	0	18	7	6	12	21	18	18	0	1	0	8	29	3
83	30	22	12	6	0	8	21	15	146	0	1433	1	3	2	0	0	0	0	1	0	19	2	8	0
830	0	7	0	66	0	59	0	1	0	3	7	1	0	0	0	1	2	0	0	0	0	2	0	4
831	2	0	1	2	2	9	3	4	19	0	0	0	0	1	0	2	2	3	0	0	10	24	42	36
832	0	0	0	0	0	0	1	8	20	0	0	0	1	0	0	0	0	0	43	55	37	5	3	12
833	4	1	0	10	1	25	0	0	0	4	0	3	3	4	12	29	29	32	0	0	0	2	3	4
834	27	20	24	1	1	0	0	0	14	0	0	2	36	40	0	2	2	3	5	0	2	0	0	5
835	5	3	4	48	12	2	0	3	0	0	0	0	2	1	0	2	2	9	0	0	1	5	25	14
836	0	6	8	11	7	25	30	12	13	4	22	4	2	2	11	3	8	5	0	0	2	16	16	3
837	0	0	0	20	0	17	19	19	4	7	15	17	1	0	0	13	14	5	1	0	1	8	7	2
838	1	0	0	4	5	0	0	0	0	4	18	7	0	0	11	3	3	1	3	27	0	26	25	33
839	0	0	2	0	0	0	0	1	14	0	149	0	0	0	0	0	0	0	0	0	0	1	2	0
84	36	22	20	8	2	18	116	213	441	1	822	1	6	2	0	5	6	2	12	60	20	4	7	5
840	1	0	0	0	0	4	61	73	32	0	0	0	0	0	0	0	2	0	2	2	5	0	0	0
841	3	0	0	2	1	8	6	0	0	7	0	6	2	0	3	10	6	9	4	0	6	12	34	37
