ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
1052	0	0	4	0	0	1	0	0	3	0	0	6	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1053	0	0	0	0	0	16	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1054	1	2	0	2	3	1	4	4	8	1	1	0	0	0	2	3	0	0	0	2	2	0	1	7	4	3	0	0	0	1	0	1	1
1057	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1058	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0
1059	0	0	0	0	0	2	0	0	5	0	1	0	0	0	1	0	0	0	0	0	7	0	3	0	0	3	0	0	0	0	0	0	0
106	1	96	643	0	5	34	0	5	3	0	321	85	0	181	1	267	2	0	10	0	1	0	0	1	0	0	0	0	0	0	13	6	0
1061	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1062	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1064	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1065	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
107	2	0	42	0	0	2	0	1	0	63	0	9	0	444	29	2	0	7	6	0	0	89	0	3	4	0	1	0	324	308	230	4	6
1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0
1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	1	0	0	0	0
1072	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	26	0	0	0	0	0	0	0
1074	1	0	0	0	2	0	2	1	0	1	3	1	0	0	0	0	0	0	1	0	1	0	0	0	9	0	0	2	1	0	0	0	0
1075	2	0	9	4	2	6	0	0	0	1	7	6	0	7	5	1	1	1	0	0	0	0	3	8	0	0	1	0	1	2	1	1	2
1076	0	4	0	0	0	0	0	1	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1077	0	5	1	0	33	1	0	2	1	1	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1078	0	60	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1079	0	1	0	0	1	0	0	2	0	1	4	0	0	0	1	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0
108	0	0	0	0	1	5	0	6	1	0	2	8	0	0	2	0	754	3	14	0	42	0	391	2	0	21	44	0	56	0	88	11	0
1080	0	6	0	0	2	0	0	5	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1081	0	0	4	0	0	5	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	3	1	13	2	0	0	1	25	0	0	0
1083	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1086	2	0	1	2	0	3	0	0	0	2	3	4	0	3	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0
