"","s.G1","s.G2","index","stat","p.value","G1CA","G1CB","G1CC","G1IA","G1IB","G1IC","G1P1A","G1P1B","G1P1C","G1P2A","G1P2B","G1P2C","G1SA","G1SC","G1STA","G1STC","G2CA","G2CB","G2CC","G2IA","G2IB","G2IC","G2P1A","G2P1B","G2P1C","G2P2A","G2P2B","G2P2C","G2SA","G2SC","G2STA","G2STB","G2STC"
"Planococcaceae_incertae_sedis",1,0,1,0.75801552383321,0.02,0,1,0,0,220,2,0,5,12,92,14,0,0,2,5,1,0,0,0,0,0,0,1,0,2,0,1,29,0,0,0,0,0
"Porphyrobacter",1,0,1,0.72184290240209,0.02,1,1,3,0,7,7,0,1,21,0,3,0,27,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0
"Pseudoxanthomonas",1,0,1,0.784992136125298,0.01,0,4,1,0,0,1,1,1,141,0,14,6,0,11,0,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"Sanguibacter",0,1,2,0.942998186076535,0.01,49,34,7,1,10,4,2,0,6,32,56,21,113,259,24,1,124,1451,1075,0,1455,148,136,149,405,401,2779,2781,2,1,84,136,135
"Sphingomonas",1,0,1,0.992646174850299,0.01,3,9,20,3,4,33,2164,8652,310,3,17,12,130,21,59,15,0,6,3,0,110,8,5,1,2,6,6,9,1,4,2,6,12
"Sphingopyxis",1,0,1,0.89681925674707,0.01,8,21,3,1,0,4,0,16,417,1,2,0,138,3,4,27,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0
"Sporosarcina",1,0,1,0.559016994374947,0.01,0,5,0,0,1,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",1,0,1,0.980481370456385,0.04,27,6530,23,211,21124,197,117,477,45,147,1839,241,34,14,195,73,9,44,125,17,24,426,19,7,131,12,54,334,10,1,6,47,71
"Streptophyta",1,0,1,0.914088755224122,0.01,0,2,1,8,24,1,15,90,19,2,36,1,9,1,4,3,0,0,0,1,1,0,7,0,1,3,1,0,0,0,2,1,11
"Terribacillus",1,0,1,0.707106781186548,0.01,0,42,0,0,98,1,0,0,3,0,36,2,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
