ID	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19
682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	4	1	3	12	11	3	14	2	0	2
685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	6	9	1	1	8	2	3	1	1	1	5	6	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	11	11	5	1	0	2	0	2	0	0	0	0	8	4	1	7	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	4	1	1	5	10	0	0	1	1	4	0	2	4	2	5
689	8	1	43	3	1	6	1	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	3	0	8	49	2	0	0	3	5	1	2	0	1	1	1	18	4	7	1	1	76	15	8	15	12	22	11	18	19	5	12	12	12	5	35	1	10	6	148	14	3	12	18	8	15	15	35	3	1	4	19	1	16	10	2	252	236	59	122	227	34	7	5	55	15	3	12	29	6	31
690	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	24	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	0
691	0	0	0	0	0	0	0	0	2	2	1	0	1	2	0	0	1	3	1	2	7	13	2	4	1	5	4	0	6	2	17	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
692	1	1	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	2	3	1	4	10	2	2	2	2	1	0	2	2	0	3
693	4	6	4	11	4	4	0	0	0	0	5	7	19	11	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
695	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	12	1	1	3	2	1	9	8	7	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	1	1
696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6	11	14	1	2	3	6	0	1	1	1	1	1	5	3	1	2
697	1	1	2	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	4	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	1	0	0	1	0	4	3	1	1	3	1	1	1	3	3	0	1	4	4	0	0	1	2	1	0	0	2	0	4
699	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	1	2	2	1	1	3	1	1	1	0	1	1	0	22	1	0	6
7	1404	40	109	3078	2627	4154	3759	4377	3887	2090	2815	59	363	107	79	1985	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	4	0	67	92	243	187	634	974	6	2	1	1	0	0	0	0	1	3	2	1	0	0	2	1	2	0	1	9	4	3	0	0	0	1	1	3
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	62	135	7	5	183	1	4	18	2	8	10	5	23	2	7	16	1	51	193	375	276	19	23	95	135	29	2	3	27	4	1	3	40	36	53
700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	3	5	7	3	10	3	4	1	0	4	0	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701	6	4	2	6	2	3	0	0	0	0	4	7	14	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
702	1	17	3	18	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	3	1	0	2	1	2	0	0	1	0	0	0	0	0	0	2	5	2	5	1	0	1	2	1	0	0	0	1	0	0	1	0	1
704	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	1	0	1	0	0	0	0	0	1	0	6	0	0	0	3	3	2	0	1	2	4	7	1	0	1	4	0	0	0	2	0	0	3	1	0	0	0	6	2	0	0	1	0	1
705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	4	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	1	0	1	1	2	1	1	5	4	0	1	5	1	2
706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	3	4	0	1	4	0	0	2	3	0	1	2	9	0	2	2	0	4	0	1	2	1	2
708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	3	0	9	1	0	0	0	4	1	0	0	0	0	0	0	0	0	1	1	0	2	7	1	8	4	1	3	1	0	1	2	0	0	1	0	0	1	3	0	1
709	2	0	0	0	0	0	1	2	5	0	3	0	1	0	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	1	0	1	1	0	0	1	2	1	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
71	123	0	0	0	84	234	36	114	42	24	2	0	1	0	0	1	23	52	7	45	117	26	48	10	20	9	22	55	56	58	17	38	11	25	48	101	23	78	58	6	158	50	11	9	14	94	9	4	30	7	5	13	73	9	7	9	12	4	5	10	21	61	73	42	45	21	18	16	6	3
710	4	2	5	5	5	0	1	2	5	1	4	4	1	6	4	8	1	0	0	1	1	1	2	1	3	0	7	0	12	8	8	10	5	2	14	5	2	0	1	4	2	1	2	0	1	1	1	0	3	11	4	10	2	0	2	0	0	0	0	2	1	1	1	0	0	0	4	0	0	0
712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	3	2	1	1	0	3	20	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
